Stkcd,Reptdt,Asset
300005,2015/12/31,2627096409
300048,2015/12/31,3365581412
300471,2015/12/31,2354157768
300252,2015/12/31,2344303342
300302,2015/12/31,921401041
300178,2015/12/31,3283726947
300169,2015/12/31,1820865120
300155,2015/12/31,1402772523
300109,2015/12/31,1235973628
300329,2015/12/31,889518477.2
300499,2015/12/31,754191356.1
300305,2015/12/31,1399624529
300288,2015/12/31,1206757191
300364,2015/12/31,878996751
300004,2015/12/31,3743551845
300180,2015/12/31,2643849403
300260,2015/12/31,1014855702
300145,2013/12/31,1771988912
300188,2013/12/31,1045432912
300292,2015/12/31,3057729552
300002,2015/12/31,5906579403
300220,2015/12/31,470440605.8
300201,2015/12/31,1318555648
300321,2015/12/31,689549737.4
300379,2015/12/31,922888931.5
300323,2015/12/31,4215114091
300206,2015/12/31,1452557691
300168,2015/12/31,5076082366
300464,2015/12/31,675892227.3
300478,2015/12/31,590554690.6
300001,2015/12/31,6402222039
300404,2015/12/31,520151941.7
300030,2015/12/31,1439340844
300280,2015/12/31,809987626.9
300145,2015/12/31,5363015577
300157,2015/12/31,3875844823
300447,2015/12/31,679744103.1
300279,2015/12/31,1335649528
300266,2015/12/31,1883000982
300362,2015/12/31,3847758011
300297,2015/12/31,2256662528
300456,2015/12/31,664810145.3
300137,2015/12/31,1628914434
300094,2015/12/31,2596059002
300445,2015/12/31,401087182
300273,2015/12/31,3729838132
300407,2015/12/31,1146789448
300264,2015/12/31,662863754.4
300483,2015/12/31,551246021.6
300463,2015/12/31,2372181001
300158,2015/12/31,4070453799
300154,2015/12/31,1703332531
300385,2015/12/31,1406340675
300102,2015/12/31,3360603291
300272,2015/12/31,1268180635
300022,2015/12/31,2322435780
300226,2015/12/31,1870875377
300123,2015/12/31,1803036624
300189,2015/12/31,2281506675
300063,2015/12/31,3351429604
300399,2015/12/31,451838413.3
300274,2015/12/31,6783116580
300461,2015/12/31,329234336.8
300405,2015/12/31,1283823660
300326,2015/12/31,1695741939
300275,2014/12/31,810718975.4
300055,2015/12/31,5990938705
300179,2015/12/31,855745654.1
300270,2015/12/31,775627981.3
300342,2015/12/31,1050921214
300082,2015/12/31,4985199754
300199,2015/12/31,3545999432
300439,2015/12/31,1446791561
300016,2015/12/31,1050020353
