Stkcd,Reptdt,RDSpendSum
300289,2014/12/31,27995839.12
300290,2014/12/31,26583321.97
300292,2014/12/31,31698192.52
300293,2014/12/31,39801209.41
300294,2014/12/31,16643659.66
300295,2014/12/31,24828373.35
300296,2014/12/31,65913972.21
300297,2014/12/31,73265297.46
300298,2014/12/31,27862461.67
300299,2014/12/31,6228889.19
300300,2014/12/31,50986485.24
300301,2014/12/31,33956527.19
300302,2014/12/31,16713418.33
300303,2014/12/31,34165260.9
300304,2014/12/31,29416476.22
300305,2014/12/31,23208330.27
300306,2014/12/31,22847697.29
300307,2014/12/31,69951745.23
300308,2014/12/31,7320622.86
300310,2014/12/31,54164989.7
300311,2014/12/31,29927935.31
300312,2014/12/31,47873963.3
300313,2014/12/31,3031239.42
300314,2014/12/31,11862191.37
300315,2014/12/31,173764597.4
300316,2014/12/31,25146898.3
300317,2014/12/31,29364677.18
300318,2014/12/31,22463894.84
300319,2014/12/31,8900958.72
300320,2014/12/31,25403489.37
300321,2014/12/31,16250010.68
300322,2014/12/31,65487176.83
300323,2014/12/31,54797838.61
300324,2014/12/31,36041330.2
300325,2014/12/31,54303212.49
300326,2014/12/31,23427629.34
300327,2014/12/31,70282643.19
300328,2014/12/31,25737876.61
300329,2014/12/31,15483906.38
300330,2014/12/31,8624418.39
300331,2014/12/31,37627047.95
300332,2014/12/31,11962552.93
300333,2014/12/31,32575435.42
300334,2014/12/31,38928385.94
300335,2014/12/31,22024069.29
300337,2014/12/31,55089084.23
300338,2014/12/31,23985041.16
300339,2014/12/31,67751293.98
300340,2014/12/31,13049786.03
300341,2014/12/31,14203606.72
300342,2014/12/31,15022062.56
300343,2014/12/31,13223201.6
300344,2014/12/31,17085447.45
300345,2014/12/31,23756884.27
300346,2014/12/31,19260432.14
300347,2014/12/31,31749904.28
300348,2014/12/31,52743843.23
300349,2014/12/31,20542635.35
300350,2014/12/31,13138224.74
300351,2014/12/31,22456323.14
300352,2014/12/31,49204796.56
300353,2014/12/31,35074366.17
300354,2014/12/31,16115830.85
300355,2014/12/31,15399917.17
300356,2014/12/31,21441628.06
300357,2014/12/31,13197407.74
300358,2014/12/31,58563270.55
300359,2014/12/31,14928608.17
300360,2014/12/31,41281958.91
300362,2014/12/31,4591592.75
300363,2014/12/31,42552171.04
300364,2014/12/31,31924600.61
300365,2014/12/31,23535540.6
300366,2014/12/31,18305930.69
300368,2014/12/31,17865437.16
300369,2014/12/31,161012174.7
300370,2014/12/31,23383989.89
300371,2014/12/31,9315772.44
300372,2014/12/31,12683135.51
300373,2014/12/31,22809348.31
300374,2014/12/31,3546696.51
300375,2014/12/31,35962080.05
300376,2014/12/31,83162532.49
300377,2014/12/31,74211453.03
300378,2014/12/31,100930674
300379,2014/12/31,46222487.95
