Stkcd,Reptdt,Shrcr
300116,2015/12/31,0.3136
300322,2015/12/31,0.3351
300360,2015/12/31,0.2576
300073,2015/12/31,0.2706
300421,2015/12/31,0.3218
300408,2015/12/31,0.3735
300244,2015/12/31,0.3769
300068,2015/12/31,0.1967
300383,2015/12/31,0.469
300087,2015/12/31,0.0949
300375,2015/12/31,0.3575
300172,2015/12/31,0.2898
300403,2015/12/31,0.4629
300072,2015/12/31,0.2945
300176,2015/12/31,0.2923
300216,2015/12/31,0.1378
300080,2015/12/31,0.2002
300428,2015/12/31,0.1188
300143,2015/12/31,0.3654
300025,2015/12/31,0.1405
300458,2015/12/31,0.0958
300422,2015/12/31,0.2378
300225,2015/12/31,0.2954
300393,2015/12/31,0.3223
300149,2015/12/31,0.2409
300398,2015/12/31,0.538
300120,2015/12/31,0.1488
300296,2015/12/31,0.3707
300472,2015/12/31,0.1117
300215,2015/12/31,0.3152
300488,2015/12/31,0.51
300104,2015/12/31,0.3679
300365,2015/12/31,0.1753
300255,2015/12/31,0.3194
300045,2015/12/31,0.2103
300019,2015/12/31,0.1931
300184,2015/12/31,0.2328
300101,2015/12/31,0.3833
300037,2015/12/31,0.1551
300213,2015/12/31,0.1499
300249,2015/12/31,0.1784
300017,2015/12/31,0.2119
300466,2015/12/31,0.2363
300491,2015/12/31,0.1997
300036,2015/12/31,0.1495
300222,2015/12/31,0.3758
300256,2015/12/31,0.1205
300056,2015/12/31,0.1972
300034,2015/12/31,0.4708
300026,2015/12/31,0.2117
300368,2015/12/31,0.3548
300410,2015/12/31,0.5711
300247,2015/12/31,0.1712
300262,2015/12/31,0.4987
300114,2015/12/31,0.5177
300081,2015/12/31,0.3191
300027,2015/12/31,0.2078
300067,2015/12/31,0.4384
300293,2015/12/31,0.4219
300320,2015/12/31,0.1966
300209,2015/12/31,0.2535
300392,2015/12/31,0.3236
300117,2015/12/31,0.3966
300092,2015/12/31,0.1969
300455,2015/12/31,0.3626
300052,2015/12/31,0.2728
300476,2015/12/31,0.2718
300066,2015/12/31,0.4084
300139,2015/12/31,0.2874
300207,2015/12/31,0.3385
300237,2015/12/31,0.2621
300339,2015/12/31,0.1746
300150,2015/12/31,0.2111
300210,2015/12/31,0.4394
300160,2015/12/31,0.2951
300286,2015/12/31,0.1969
300482,2015/12/31,0.2483
300008,2015/12/31,0.2231
300253,2015/12/31,0.1636
300208,2015/12/31,0.1457
300147,2015/12/31,0.3411
300190,2015/12/31,0.5194
300127,2015/12/31,0.3398
300373,2015/12/31,0.4686
300451,2015/12/31,0.2074
300475,2015/12/31,0.2747
300289,2015/12/31,0.3318
300200,2015/12/31,0.2909
